operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",5500000.0,MXN,5450245.5,289775.66,,54.0,,101851.85185185184,,,,http://miguel-hidalgo-df.properati.com.mx/o3zb_venta_departamento_miguel-hidalgo_inventario-inmobiliario-4
sell,house,|Iztapalapa|Distrito Federal|México|,"19.31033,-99.068557",1512000.0,MXN,1498321.97,79661.96,,80.0,,18900.0,,,,http://iztapalapa.properati.com.mx/q7t0_venta_casa_iztapalapa_san-lorenzo_0_ana-leon
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.279771,-99.234597",926667.0,MXN,918284.0,48822.82,,100.0,,9266.67,,,,http://tlalpan.properati.com.mx/qbi4_venta_departamento_tlalpan_conkal_75_angeles-albarran
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"23.634501,-102.552788",6410000.0,MXN,6352013.39,337720.36,,135.0,,47481.48148148148,,,,http://miguel-hidalgo-df.properati.com.mx/opeq_venta_departamento_miguel-hidalgo_inventario-inmobiliario-6
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1902642,-86.8198375",875000.0,USD,16457437.5,875000.0,0.0,263.0,,3326.9961977186317,,,,http://cancun.properati.com.mx/hg4t_venta_departamento_cancun
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.432657,-99.177444",4416000.0,MXN,4376051.62,232663.51,,87.0,,50758.62068965517,,,,http://anzures.properati.com.mx/opct_venta_departamento_anzures_inventario-inmobiliario-6
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.367025,-99.170349",3150000.0,MXN,3122244.47,166001.78,,100.0,,31500.0,,,,http://benito-juarez.properati.com.mx/r3a9_venta_departamento_benito-juarez_jose-maria-rico_606_viviane-nr
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.340909,-99.22511",2086666.0,MXN,2067789.37,109939.09,,205.0,,10178.858536585363,,,,http://alvaro-obregon.properati.com.mx/oi7a_venta_casa_alvaro-obregon_2-cerrada-del-moral_1_fernando-vazquez_act
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.509359,-99.093272",1600000.0,MXN,1585525.89,84298.37,,144.0,,11111.111111111111,,,,http://gustavo-a-madero.properati.com.mx/piyr_venta_casa_gustavo-a-madero_andador-29-francisco-j-macin_21_oukia-inmobiliaria-sa-de-cv
sell,house,|Benito Juárez|Quintana Roo|México|,"21.119158,-86.84693",6500000.0,MXN,6441199.16,342462.14,,350.0,,18571.42857142857,,,,http://benito-juarez-quintana-roo.properati.com.mx/r7w4_venta_casa_benito-juarez_alamos_1_humberto-r
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.432901,-99.213075",4398100.0,MXN,4359347.04,231775.37,,304.0,,14467.434210526317,,,,http://reforma-social.properati.com.mx/r11a_venta_casa_reforma-social_av-tecamachalco_90_remate-bancario_e2b
sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",1784569.0,MXN,1768425.2,94022.66,,57.0,,31308.22807017544,,,,http://benito-juarez.properati.com.mx/pdji_venta_departamento_benito-juarez_inventario-inmobiliario-7
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.4987828982,-87.2228193283",300000.0,USD,5642550.0,300000.0,1500.0,160.0,200.0,1875.0,,,,http://playa-del-carmen.properati.com.mx/esmj_venta_casa_playa-del-carmen
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3794059,-99.1591446",3272300.0,MXN,3243466.76,172446.86,0.0,83.0,,39425.30120481928,,,,http://benito-juarez.properati.com.mx/qc0v_venta_departamento_benito-juarez_grupo-jacz-s-a-de-c-v
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.36269,-99.150565",1260000.0,MXN,1248601.52,66384.96,,103.0,,12233.009708737864,,,,http://benito-juarez.properati.com.mx/onph_venta_departamento_benito-juarez_pirineos_142_virginia-reyes
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.0511211635,-86.7828512192",115000.0,USD,2162977.5,115000.0,49.0,49.0,2346.938775510204,2346.938775510204,,,,http://cancun.properati.com.mx/jh5k_venta_departamento_cancun
